category,question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Equipment & Tools","What is a Paddle?","A water sport tool","A type of boat","A cooking utensil","Flat rigid implement for impact play","3","A paddle is a flat implement, often made of wood or leather, used for impact play that produces a broad, thudding sensation."
"Equipment & Tools","What is a Cane?","A walking assistance stick","A type of plant material","A measurement tool","Long thin flexible rod for impact play","3","A cane used in BDSM is typically made of rattan and is designed to deliver a sharp, stinging, and highly focused sensation."
"Equipment & Tools","What are Restraints?","Self-control techniques","Legal limitations","Rules and regulations","Devices used to limit movement like cuffs","3","Restraints is a general term for devices like handcuffs, leather cuffs, ropes, or straps used in bondage to restrict a person's movement."
"Equipment & Tools","What are ""spreaders""?","Butter knives for cooking","A farming technique","A medical device","Bars used to keep limbs apart","3","Spreader bars are rigid bars with cuffs attached to keep a submissive's ankles or wrists apart, preventing them from closing their legs or arms."
"Equipment & Tools","What is a ""St. Andrew's Cross""?","A religious symbol","A constellation pattern","A medical device","X-shaped structure for restraint","3","A St. Andrew's Cross is a common piece of dungeon furniture, an X-shaped frame to which a submissive can be restrained standing up."
"Equipment & Tools","What is a ""spanking Bench""?","A workbench for crafts","A children's toy","A type of seating","Furniture designed for spanking positioning","3","A spanking bench is a piece of furniture designed to support a person in a bent-over position, making them accessible for impact play or other activities."
"Equipment & Tools","What is a ""suspension Cuff""?","A type of handcuff","A medical device","A fashion bracelet","Heavy-duty cuff for weight support in suspension","3","Suspension cuffs are specifically designed with strong materials and secure attachments to safely hold a person's weight during rope suspension."
"Equipment & Tools","What is Rope typically made of for bondage?","Metal wire material","Rubber tubing","String or yarn","Natural fibers like jute or synthetic nylon","3","Bondage rope is often made of natural fibers like jute or hemp for their grip and lack of stretch, or nylon for its smoothness and strength."
"Equipment & Tools","What is ""safety Shears""?","Scissors for crafts","A type of knife","Gardening tools","Blunt-tipped scissors for emergency cutting","3","Safety shears are an essential safety tool in bondage. Their blunt tips allow for cutting rope near the skin without stabbing the person."
"Equipment & Tools","What is a Ball Gag?","A type of joke","A dance style","A game equipment","Gag with ball that fits in mouth","3","A ball gag is a common type of gag featuring a rubber or silicone ball strapped into the mouth, preventing clear speech."
"Equipment & Tools","What is a Bit Gag?","A computer term","A small-sized gag","A punishment device","Gag resembling horse's bit","3","A bit gag is modeled after a horse's bit and is placed in the mouth. It can be more comfortable for some than a ball gag."
"Equipment & Tools","What is a Ring Gag?","A gag for telephone use","A type of jewelry","A telephone device","Gag with ring keeping mouth open","3","A ring gag holds the mouth open with a ring in the center, which can also be used for other activities, like forced oral sex or drool control."
"Equipment & Tools","What is a Hood?","A neighborhood area","A type of vehicle","A ranking status","Head covering for sensory deprivation","3","A hood is a head covering used in BDSM for sensory deprivation, objectification, or aesthetic purposes. It can cover all or part of the head."
"Equipment & Tools","What is a Blindfold?","A type of dance","A window covering","A folding technique","Device to block eyesight","3","A blindfold is a simple but effective tool for sensory deprivation, removing the sense of sight to heighten other sensations."
"Equipment & Tools","What is a TENS Unit?","A tension measurement device","An exercise machine","A counting device","Device for electrical play (e-stim)","3","A TENS (Transcutaneous Electrical Nerve Stimulation) unit is a medical device commonly adapted for BDSM electrical play to stimulate nerves."
"Equipment & Tools","What is a Violet Wand?","A purple flashlight","A type of dildo","A massager tool","Device for high-frequency electrical play","3","A violet wand is an electrical play device that produces a high-voltage, low-current current, creating a sensation like static electricity sparks."
"Equipment & Tools","What is a Chastity Cage?","A prison cell","A bird cage","A furniture item","Device enclosing penis to prevent erection","3","A chastity cage is a device worn on the penis to prevent sexual activity. It is a common tool in orgasm control and denial dynamics."
"Equipment & Tools","What is a Butt Plug?","A drain stopper","An electrical plug","A tool device","Toy for anal insertion with flared base","3","A butt plug is a sex toy designed for anal insertion, typically with a flared base to prevent it from being lost inside the rectum."
"Equipment & Tools","What is a Dildo?","A silly person","A type of flower","A personal name","Phallic sex toy for penetration","3","A dildo is a non-vibrating phallic sex toy used for vaginal or anal penetration. It is a key component of pegging."
"Physiology & Psychology","What is Gag Reflex?","A safety mechanism","A legal concept","A punishment type","Physical reaction to prevent choking","3","The gag reflex is an automatic reaction to objects touching the back of the throat. With practice and desensitization, some people can learn to suppress it."
"Physiology & Psychology","What is ""sub Drop""?","A temperature decrease","A type of punishment","A physical fall","Emotional low after intense scene","3","Sub drop is a colloquial term for the crash that can follow the endorphin high of subspace, involving sadness, fatigue, or irritability. Aftercare helps mitigate it."
"Physiology & Psychology","What is Top Drop?","A price reduction","A punishment technique","A physical fall","Emotional low affecting dominant after scene","3","Top drop is the similar emotional low that can affect the dominant after a scene, often due to the mental effort required for control and risk management."
"Physiology & Psychology","What are Endorphins in BDSM?","Hormones causing pain","A type of drug","Safety words","Natural chemicals causing euphoria in play","3","Endorphins are the body's natural painkillers, released during intense or painful BDSM activities, contributing to the high experienced in subspace."
"Physiology & Psychology","What is Trust in BDSM?","A financial agreement","A legal document","A type of game","Reliance on partner to respect limits","3","Trust is fundamental in BDSM, as it allows the submissive to fully surrender control, relying on the dominant to respect all negotiated limits and safewords."
"Physiology & Psychology","What is Communication in BDSM?","Talking constantly","A formal lecture","A punishment type","Continuous process discussing desires and limits","3","Communication is paramount in BDSM, involving thorough negotiation, continuous checking in, and open discussion of feelings before, during, and after a scene."
"Physiology & Psychology","What is Risk Awareness?","Being afraid","A meditation practice","A safety rule","Understanding potential dangers in activities","3","Risk Awareness is part of RACK, meaning participants acknowledge and accept the inherent risks of their chosen activities."
"Physiology & Psychology","What is The Power Exchange?","A financial transaction","A political deal","A type of contract","Consensual surrender of control to partner","3","The Power Exchange is the core dynamic of D/s relationships, where control is voluntarily surrendered and taken."
"Safety & Ethics","What does ""SSC"" primarily enforce?","Style, speed, compliance","Structure, sensation, caring","Silence, secrecy, control","Safety, sanity, and consent","3","SSC (Safe, Sane, Consensual) is the foundational ethical framework emphasizing safety protocols and informed consent."
"Safety & Ethics","Who is responsible for stopping a scene if a safeword is used?","The submissive only","The dominant only","A neutral third party","Both partners immediately","3","Both partners are responsible for stopping the scene immediately and completely when a safeword is used, regardless of who used it."
"Safety & Ethics","What is the primary role of Negotiation?","To maximize pain intensity","To choose outfits","To select music","Establish limits and expectations before play","3","Negotiation is the vital safety step where all boundaries, limits (hard and soft), and planned activities are discussed and agreed upon."
"Safety & Ethics","What is a Go or Yellow safeword typically used for?","To stop immediately","To end relationship","To increase intensity","Signal discomfort but continue with caution","3","A Yellow safeword (often a color, like Amber/Yellow) signals that the user is uncomfortable, needs a slight break, or needs the intensity reduced, but doesn't require a full stop."
"Safety & Ethics","If a safeword is used, what must happen immediately?","Scene continues gently","Submissive is punished","Partners switch roles","Action stops and check on submissive","3","The action must stop immediately. The dominant must check on the submissive to ensure their well-being and initiate aftercare if needed."
"Safety & Ethics","What is the Rule of Threes in BDSM?","Three partners needed","Three safewords required","Three hard limits minimum","Third person needed for high-risk play","3","The Rule of Threes (less common/more specific) suggests a third person (spotter or EMT) is needed for high-risk edge play like suspension or blood play."
"Safety & Ethics","What should be present during all bondage scenes involving ropes or cuffs?","A camera","Bottle of water","Blindfold","Safety shears or key for quick release","3","Safety shears (for ropes) or a key (for cuffs) are essential for immediate release in case of an emergency (e.g., choking, circulation loss)."
"Safety & Ethics","Which of these is the most important principle for ensuring the safety of impact play?","Hitting as hard as possible","Hitting randomly","Using most expensive tool","Avoiding bones and sensitive areas","3","Avoiding impact to the head, spine, kidneys, and major arteries is crucial for safety, regardless of the tool used."
"Safety & Ethics","What is the main purpose of Aftercare?","Clean up play space","Plan next scene","Critique performance","Ensure physical/emotional recovery","3","Aftercare is non-negotiable and focuses on the emotional and physical needs of the partners, especially preventing drop."
"Slang & Culture","What is a Kinkster?","A person who plays kinks","A type of dancer","A fictional character","A person who practices BDSM or alternative sexualities","3","A Kinkster is a person who engages in kink or BDSM activities and identifies with the lifestyle."
"Slang & Culture","What does IRC stand for in BDSM culture (historically)?","Intense Rope Control","Internal Relationship Contract","Impact and Restraint Community","Internet Relay Chat (online meeting place)","3","IRC was historically a key online platform where early BDSM communities met and organized."
"Slang & Culture","What is Poly in BDSM contexts?","Polyester material","A type of punishment","A safety procedure","Polyamorous (multiple consensual relationships)","3","Poly is short for Polyamory, which often overlaps with BDSM communities, referring to relationships with multiple partners."
"Slang & Culture","What is a Dungeon in BDSM?","A prison facility","An underground room","A type of bar","A designated space for BDSM play","3","A dungeon is a location specifically equipped and sanctioned for BDSM activities, often hosted at clubs or events."
"Slang & Culture","What does KSA stand for in the context of BDSM clubs or organizations?","Kink, Safety, Agreement","Kink, Sex, Acceptance","Kink, Skill, Awareness","Kink, Sensation, Activity","2","KSA stands for Kink, Skill, Awareness - an educational approach emphasizing the skills and knowledge needed for safe play."
"Slang & Culture","What is a Bootblack?","A shoe cleaner","A type of punishment","A beginner dominant","A person who cleans leather boots as service","3","A Bootblack is a service role at BDSM events/clubs, focusing on cleaning and polishing leather gear, especially boots, as a form of service play or fetish."
"Slang & Culture","What is a Fetish?","A negative habit","A type of greeting","A form of contract","A strong sexual interest in particular objects","3","A fetish is a strong sexual focus on non-genital objects or activities, often incorporated into BDSM scenes."
"Slang & Culture","What is Leather in BDSM culture?","A type of jacket","A type of food","A safety tool","A subculture incorporating leather clothing","3","Leather refers both to the material (used for gear) and a specific, historical subculture within the BDSM community."
"Slang & Culture","What is a Pup in Pet Play?","A small dog","A type of dominant","A type of beginner","A person who role-plays as a dog","3","A Pup is a common term for a person who engages in role-play as a dog, often wearing a hood and harness."
"Slang & Culture","What is Harness in Pet Play?","A safety device","A type of training","A type of mask","Straps or gear worn for aesthetic or control","3","A harness in pet play is often worn by the submissive (pup/kitten/etc.) and used by the dominant (handler) to guide or control them."
"Slang & Culture","What is Furries in relation to BDSM?","People who wear costumes","A type of animal","A safety rule","Community focused on anthropomorphic characters","3","The Furry community focuses on anthropomorphic characters and art, and while separate, there can be overlap with the Pet Play subculture."
"Slang & Culture","What is a Rubber/Latex fetish?","A type of shoe","A safety rule","A type of material","Sexual interest in rubber or latex clothing","3","A rubber or latex fetish involves sexual arousal from the sight, feel, or smell of rubber or latex clothing."
"Slang & Culture","What is Dressing Out?","Getting ready","A type of punishment","A form of humiliation","Changing from play clothes back to street clothes","3","Dressing Out is the cultural process of transitioning back to a vanilla state after a scene, symbolizing the end of the play."
"Slang & Culture","What is The Lair (historically)?","A type of animal home","A secret meeting place","A type of game","A famous BDSM club/dungeon in the US","3","The Lair refers to one of the most famous, long-running BDSM clubs/dungeons in the United States, known for its extensive facilities."
"Slang & Culture","What is a ""slut Drop""?","A type of dance","A sexual move","A term for promiscuity","A derogatory term for sub drop","3","Slut Drop is a derogatory term sometimes used for Sub Drop, emphasizing the difference between the post-scene low and the high."
"Slang & Culture","What is Gothic style often associated with in BDSM culture?","A type of architecture","A music genre","A type of toy","A fashion style with dark, romantic elements","3","Gothic style—dark clothing, leather, metal—often overlaps as a popular aesthetic choice within the BDSM and fetish communities."
"Slang & Culture","What is The Scene often used to refer to?","A specific BDSM session","A movie set","A place to meet","The wider BDSM community and culture","3","The Scene is a broad term referring to the community, culture, and social environment of BDSM and kink practitioners."
"Slang & Culture","What is a Brat?","A naughty child","A type of toy","A dominant","A submissive who playfully resists authority","3","A Brat is a submissive who enjoys challenging or testing their dominant's authority in a consensual, pre-negotiated way."
"Slang & Culture","What is a Brat Tamer?","A type of animal trainer","A parenting technique","A form of punishment","A dominant who enjoys playing with brats","3","A Brat Tamer is the dominant partner who takes pleasure in disciplining and controlling a bratty submissive, often involving specific rule-sets and punishments."
"Slang & Culture","What is Pony Play?","Horse riding","A type of game","A type of toy","A form of pet play role-playing as pony","3","Pony Play is a form of pet play where the submissive takes on the role of a pony, often involving a bit, harness, and cart or handler."
"Kink Acronym","What does the core acronym BDSM stand for?","Bondage, Discipline, Sadism, Masochism","Bondage & Discipline, Dominance & Submission, Sadism & Masochism","Bondage, Dominance, Sadism, Mastery","Bondage, Devotion, Submission, Masochism","1","BDSM is a portmanteau combining BD (Bondage & Discipline), DS (Dominance & Submission), and SM (Sadism & Masochism)."
"Kink Acronym","In a D/s dynamic, what does the 's' stand for?","Sadist","Safety","Submissive","Sir","2","D/s stands for Dominant/submissive, describing the core power exchange relationship."
"Kink Acronym","What does S&M specifically refer to?","Safe and Monogamous","Sensation and Mindplay","Sadism and Masochism","Submission and Mastery","2","S&M stands for Sadism and Masochism, the giving and receiving of consensual pain or intense sensation."
"Kink Acronym","What does the safety principle SSC stand for?","Safe, Secure, Consensual","Safe, Sane, Consensual","Sensible, Safe, Consensual","Sane, Secure, Communal","1","SSC stands for Safe, Sane, and Consensual, a foundational principle for ethical kink."
"Kink Acronym","What does the safety principle RACK stand for?","Risk-Accepted Consensual Kink","Risk-Acknowledged Consensual Kink","Risk-Aware Consensual Kink","Rules-Aware Consensual Kink","2","RACK stands for Risk-Aware Consensual Kink, emphasizing informed consent about potential risks."
"Kink Acronym","What does M/s stand for?","Mommy and son","Master and slave","Masochist and sadist","Marriage and service","1","M/s stands for Master/slave, a Total Power Exchange dynamic."
"Kink Acronym","What does the acronym FLR stand for?","Fun, Loving, Respect","Female-Led Relationship","Formal Loving Rules","Family-Like Relationship","1","FLR stands for Female-Led Relationship, where the woman is the primary authority."
"Kink Acronym","In a CG/l relationship, what does 'CG' stand for?","Commanding General","Caring Guardian","Caregiver","Control Guide","2","CG stands for Caregiver, who looks after the 'little' (l) in a nurturing dynamic."
"Kink Acronym","What does TPE stand for?","Total Pleasure Experience","Temporary Power Exchange","Total Power Exchange","Trusted Partner Engagement","2","TPE stands for Total Power Exchange, where authority is given extensively, often 24/7."
"Kink Acronym","What does the acronym GFD stand for?","Good Fun Discipline","Genuine Formal Domination","Guided Female Development","Gentle Femdom","3","GFD stands for Gentle Femdom, a softer, more nurturing style of female dominance."
"Kink Acronym","In a BDSM context, what does CBT stand for?","Cognitive Behavioral Therapy","Cock and Ball Torture","Computer-Based Training","Core Body Tension","1","In BDSM, CBT stands for Cock and Ball Torture, a form of play involving the male genitals."
"Kink Acronym","What does the acronym AB/DL refer to?","Adult Baby / Diaper Lover","Alpha Beta / Dynamic Link","Aftercare Bonding / Deep Love","Always Bound / Disciplined Little","0","AB/DL stands for Adult Baby / Diaper Lover, relating to age play and/or a paraphilic interest in diapers."
"Kink Acronym","What does the term 'Vanilla' refer to?","A flavor of ice cream","A type of submissive","Conventional, non-kinky sexuality","A brand of lubricant","2","Vanilla describes sexual preferences or activities that are conventional and not involving BDSM."
"Kink Acronym","What does IRL stand for?","I Really Love","In Real Life","Internal Role Logic","I Respectfully Leave","1","IRL distinguishes online or fantasy interactions from those that happen in person."
"Kink Acronym","In online personals, what does AAS mean?","Age-Activity-Sex","Above All Else","Anything And Everything","As A Submissive","3","AAS means 'As A Submissive,' indicating the poster's role."
"Kink Acronym","What does the acronym YKINMK stand for?","You Know I Need My Kinks","Your Kink Is Not My Kink","You Keep It New & Modern, Kink","Yes, Kink Is Naturally My Kind","1","YKINMK is a polite way to express that something isn't to your taste without shaming others."
"Kink Acronym","What does the acronym NSFW mean?","Not Safe For Work","New, Safe, Fun, Welcoming","No Strings, For Wellness","Not Suitable For Wimps","0","NSFW is a common internet warning for explicit or sexual content."
"Kink Acronym","In online profiles, what does F4M denote?","Friend for Marriage","Female for Male","Fun for Money","Freedom for Mastery","1","F4M indicates a Female seeking a Male."
"Kink Acronym","What does the acronym JOI stand for?","Joy Of Instruction","Jerk Off Instructions","Just Obey Instantly","Judgment Of Intent","1","JOI is a form of erotic instruction where the submissive is told how to masturbate."
"Kink Acronym","In Femdom, what does CFNM describe?","Clothed Female, Nude Male","Controlled Female, Naked Master","Chastity For Naked Males","Commanding Female, Neutral Male","0","CFNM is a common Femdom theme where the power imbalance is highlighted by the state of dress."
"Kink Acronym","What does the acronym FLM stand for?","Family Life Mastery","Female Led Marriage","Fun, Loving, Motherly","Formal Loving Mistress","1","FLM is a Female-Led Marriage, a type of FLR that is formalized through marriage."
"Kink Acronym","What does the acronym CEI stand for?","Cum Eating Instruction","Clothing Elimination Immediately","Consensual Endurance Increase","Constant Emotional Investment","0","CEI stands for Cum Eating Instruction, a form of psychological play and/or humiliation."
"Kink Acronym","What does the acronym SSBBW stand for?","Super Soft Big Beautiful Woman","Super Sized Big Beautiful Woman","Sensual, Sexy, Big Beautiful Woman","Smart, Strong, Big Beautiful Woman","1","SSBBW is a personals/fetish acronym for Super Sized Big Beautiful Woman."
"Kink Acronym","What does the acronym DM on social media stand for?","Dungeon Master","Direct Message","Discipline Me","Dominant Male","1","DM refers to a private Direct Message."
"Kink Acronym","What does the acronym AMA signify in an online forum?","Ask Me Anything","About My Assets","Aftercare, My Approach","All My Accounts","0","An AMA is a Q&A session where someone offers to answer questions from the community."
"Kink Acronym","What does LDR in a kink context describe?","Long-Distance Relationship","Low-Dominance Response","Light, Demanding, Respectful","Latex Doll Roleplay","0","An LDR is a relationship where partners are geographically separated."
"Kink Acronym","What does the term 'Brat' refer to?","A type of cheese","A submissive who enjoys being degraded","A submissive who enjoys teasing and breaking rules","A new Dominant","2","A Brat is a type of submissive who deliberately misbehaves or talks back to provoke a funishment or reaction from their Dominant."
"Kink Acronym","What does the term 'Switch' mean?","A type of punishment tool","A person who enjoys both dominant and submissive roles","A person who only does online play","A safety device to stop a scene","1","A Switch is someone who can fluidly take on either the dominant or submissive role."
"Kink Acronym","What does the acronym EDGE refer to in a BDSM context?","The practice of using knives","The practice of bringing someone to the brink of orgasm and stopping","The outer limit of a boundary","The start of a scene","1","Edging is the practice of being brought to the point of orgasm and then stopping, repeatedly, to intensify the eventual release."
"Kink Acronym","What does the acronym HNT often mean in online kink spaces?","Hard Night Training","Have Nice Time","Heavy Needle Torture","Hide N' Tease","3","HNT stands for Hide N' Tease, a game involving suggestive but partially concealed photos."
"Kink Acronym","What does the acronym FORD stand for in negotiation?","A car brand","Family, Occupation, Recreation, Dreams","Freedom, Obedience, Rules, Discipline","Fantasy, Objective, Reality, Denial","1","FORD is a common small-talk acronym to discuss non-kink topics to build connection: Family, Occupation, Recreation, Dreams."
"Kink Acronym","What does the acronym PRICK stand for?","Personal Responsibility, Informed, Consensual Kink","Prompt Response In Critical Kinks","Professional Rules In Consensual Kink","Partners Respecting Individual Consensual Kinks","0","PRICK stands for Personal Responsibility, Informed, Consensual Kink, placing emphasis on individual accountability."
"Kink Acronym","What does the acronym W/we signify in dynamic writing?","With pleasure","The Dominant and the submissive","Win or win","Willfully wed","1","The capitalized 'We' refers to the Dominant, the lowercase 'we' refers to the submissive, and 'W/we' is used to encompass both together respectfully."
"Kink Acronym","What does the acronym TL;DR in a kink profile mean?","Too Long; Didn't Read","True Love; Deep Respect","Training, Learning; Development, Rules","Tender, Loving; Demanding, Rigid","0","TL;DR is an internet acronym for a summary of a long piece of text."
"Kink Acronym","What does the acronym PNP in some kink circles stand for?","Party and Play","Punishment and Pain","Protocols and Procedures","Pets and Partners","0","PNP stands for Party and Play, which often refers to sexual activity under the influence of drugs, a high-risk activity requiring extreme caution."
"Kink Acronym","What does the acronym RED mean in a safety context?","A color theme","Remember Everyone's Desires","Rapid Escape Device","Recognize, Evaluate, Decide","3","RED is a situational awareness model: Recognize the hazard, Evaluate your options, Decide what to do."
"Kink Acronym","What does the acronym TENS stand for in sensation play?","Total Electric Nerve Stimulation","Tactile Enhancement Nervous System","Trans-Epidermal Nerve Stimulator","Transcutaneous Electrical Nerve Stimulation","3","A TENS unit is a medical device often repurposed in kink for electrical play."
"Kink Acronym","What does the acronym O/U in technical bondage refer to?","Over/Under","Oak/Unfinished","Oval/Uniform","One/Use","0","O/U refers to the 'Over/Under' technique for weaving a rope."
"Kink Acronym","What does the acronym ESD in electrical play safety mean?","Electro-Static Discharge","Energy Source Device","Emergency Shutoff Device","Extreme Sensation Device","0","ESD (Electro-Static Discharge) can damage electronics and poses a minor risk in some forms of electrical play."
"Kink Acronym","What does the acronym CCCC is used in first aid for?","Care, Comfort, Cool, Calm","Code, Call, Compress, Cover","Catastrophic Cut Care & Compress","Circulation, Capillaries, Color, Condition","2","CCCC (Catastrophic Cut Care & Compress) is vital knowledge for those involved in edge play like knife or needle play."
"Kink Acronym","What does the acronym GOR stand for?","Game Of Roles","General Operation Rules","Gorean","Guarantee Of Respect","2","GOR refers to the Gorean philosophy based on the novels of John Norman, which includes a strict master/slave dynamic."
"Kink Acronym","What does the acronym META stand for in a community context?","Most Effective Tactic Available","Medical, Emotional, Technical, Aftercare","Mutually Enjoyed Thrilling Activities","My Exclusive Training Agreement","0","META means the Most Effective Tactic Available, often used when discussing strategy."
"Kink Acronym","What does the acronym 'Aftercare' refer to?","Care taken after a scene ends","The final stage of a relationship","Care taken before a scene","A type of bondage","0","Aftercare is the time after a scene for partners to care for each other, often involving reassurance, hydration, and physical comfort."
"Basic Terminology & Concepts","What is a 'Hard Limit'?","A limit that is difficult to achieve","A limit that is non-negotiable and will not be done","A limit that can be pushed with negotiation","A time limit for a scene","1","A Hard Limit is an activity that a person will not under any circumstances agree to."
"Basic Terminology & Concepts","What is a 'Safeword'?","A word that starts a scene","A secret code between partners","A pre-agreed word to stop or pause a scene","The safe name for a Dominant","2","A Safeword is a pre-arranged word that, when spoken, immediately stops all play."
"Basic Terminology & Concepts","What does the term 'Scene' refer to?","A dramatic argument","A location for play","A specific BDSM session or activity","A part of a movie","2","A scene is a consensual BDSM session, with a beginning and an end, that takes place between partners."
"Basic Terminology & Concepts","What is a 'Dungeon'?","A dark basement","A medieval prison","A designated space for BDSM play","A type of fantasy story","2","A dungeon is a space, often a room or club, specifically designed and equipped for BDSM activities."
"Basic Terminology & Concepts","What does the term 'Topping from the Bottom' mean?","A submissive who is very good at their role","A submissive who is physically on top","A submissive who attempts to control the scene","A Dominant who is being passive","2","Topping from the Bottom describes a submissive who tries to dictate or control the flow of the scene, undermining the Dominant's role."
"Basic Terminology & Concepts","What is a 'Play Party'?","A children's birthday party","A social gathering where BDSM activities occur","A party where everyone acts","A party to play board games","1","A play party is a social event where attendees may engage in BDSM scenes, often with established rules and monitors."
