Term,Correct Definition,Wrong Definition 1,Wrong Definition 2,Wrong Definition 3
Submissive,"A participant who yields control, authority, or agency to another, often within a structured dynamic.","The dominant person who sets all the rules.","A type of restraint involving leather straps.","A person who is new to the community and seeking mentorship."
Dominant,"A participant who takes control, authority, and agency over another, often within a structured dynamic.","The person who solely cleans up after a scene.","The act of a bottom refusing an instruction.","A safety word used to signal a soft limit."
Kink,"A non-traditional sexual preference or practice that involves power exchange or role-playing.","The set of rules defined before a scene begins.","A specific type of safe word that means 'slow down'.","A public performance of a BDSM scene."
Safeword,"A pre-agreed-upon word or phrase used by a participant to immediately stop or pause a scene.","A specific binding technique using hemp rope.","A person who observes a scene but does not participate.","The official title of a Master/Mistress."
Aftercare,"The period following a scene dedicated to physical and emotional comfort, reassurance, and recovery.","A specific type of leather whip used for light impact.","The pre-scene negotiation process.","The initial vetting process for a new partner."
Brat,"A submissive who deliberately misbehaves or tests the dominant's boundaries to encourage structured discipline.","The term for a very experienced dominant.","A person who documents BDSM events.","A form of sensual massage used in non-kink settings."
Switch,"A participant comfortable taking on both Dominant and Submissive roles, depending on the dynamic or partner.","A special type of collar worn only during play.","The person responsible for setting up the dungeon space.","A strict rule against kissing during a scene."
Service Top,"A dominant who derives pleasure from physically or emotionally serving their submissive, often through tasks or praise.","A submissive who exclusively performs household chores.","A specific technique for wrapping heavy chains.","The act of a dominant punishing their submissive."
Protocol,"A set of rules, behaviors, or rituals established between participants to govern their dynamic.","The special rope used only for shibari.","The name of a popular BDSM club.","A formal term for a safe word."
Non-Negotiable,"A boundary or limitation that cannot be crossed under any circumstances.","A type of light-hearted punishment involving tickling.","A scene involving two bottoms and one top.","The time immediately following a scene."
Consent,"Enthusiastic, continuous, sober, and informed agreement to engage in an activity.","A strict punishment for breaking a rule.","The feeling of being overpowered in a good way.","The period before a scene where participants clean up."
Degradation,"A scene involving verbally diminishing a submissive's self-worth for the sake of the dynamic.","A special harness used for suspension.","The feeling of intense sadness after a scene.","A specific type of medical examination before kink activity."
Praise,"Positive verbal affirmation used by a dominant to reward or encourage a submissive.","The act of a submissive bowing to their dominant.","The use of electricity in a scene.","A specific knot used in bondage."
Impact Play,"Activities involving striking, spanking, or paddling to cause physical sensation.","A scene focusing solely on verbal exchange.","The term for long-distance BDSM dynamics.","A complex arrangement of ropes for a suspension."
Pet Play,"Role-playing where one participant takes on the role of an animal and another acts as their owner/trainer.","A specific type of collar made of metal.","A game involving guessing the dominant's next move.","The process of buying new kink gear."
CBT,"Cock and Ball Torture; activities involving the male genitalia for sensation and power exchange.","A very formal code of conduct for a dungeon.","A soft, padded material used for cushioning.","The term for a person new to BDSM."
Wax Play,"Dripping low-temperature wax onto a partner's skin for sensation play.","A style of long, ceremonial robe worn by a Mistress.","A technique for tying the wrists together.","A type of verbal exchange used in role-play."
Shibari,"The Japanese art of sensual rope bondage, focusing on aesthetic and positional constraints.","A type of extreme pain tolerance competition.","The traditional clothing worn by a submissive.","The official greeting ritual in a BDSM club."
M/s,"Master/slave dynamic; a highly structured, often 24/7 power exchange relationship with intense devotion.","A type of safe word that means 'too fast'.","The specific sound made by a paddle.","A method for safely cleaning leather gear."
Femdom,"Female Dominance; a dynamic where the female participant holds the dominant role over a male or female submissive.","A specific type of corset designed for discomfort.","The act of a submissive refusing a task.","A formal title for a male submissive."
Daddy/little,"A dynamic involving an adult caregiver role (Daddy) and an adult care-recipient role (little), often for comfort or regression.","A specific type of impact toy used only on the rear.","A rule requiring a submissive to wear diapers at all times.","A person who collects historical BDSM artifacts."
Top,"The participant who takes the primary active role, whether dominant, giver, or actor, during a scene.","The lowest-ranked person in a dynamic.","A type of knot that is quick to release.","A rule that prevents talking during a scene."
Bottom,"The participant who takes the primary receiving role, whether submissive, receiver, or focus, during a scene.","The highest-ranked person in a dynamic.","A term for someone who avoids kink entirely.","A person who manages the music during a scene."
D/s,"Dominance and Submission; the general term for a dynamic involving the exchange of power and control.","The act of decorating a dungeon for a party.","A specific type of leather hood.","A strict dress code for a club."
CNC,"Consensual Non-Consent; a scene where the dynamic involves playing with the fantasy of non-consent while ensuring enthusiastic, safe consent is maintained.","A type of electrical play that uses high voltage.","A term for a submissive who always consents instantly.","A strict rule against using a safe word."
Edge Play,"Activities that push the emotional, psychological, or physical limits, often involving elements of risk.","A rule where the dominant must wear a mask.","A specific type of music played during a scene.","The act of gently waking a sleeping submissive."
Safe,"A term used to confirm that a scene is within the limits and that the submissive is okay.","A type of collar made of steel.","A formal name for the safe word.","A punishment involving repetitive writing."
Freeze,"A specific type of safe word that means 'stop immediately but I am not in distress'.","A type of bondage that restricts movement slightly.","A rule against physical touch.","A specific position used for spanking."
Owner/property,"A dynamic where one participant (Owner) treats the other (property) as an object to be used, often with intense dehumanization.","A specific type of clothing that is intentionally torn.","A type of very strict protocol involving silence.","The act of destroying kink equipment."
Collaring,"A ceremonial act where a dominant places a collar on a submissive to symbolize ownership or commitment.","A punishment involving kneeling on dried beans.","The process of cleaning a submissive's gear.","A type of massage used before a scene."
Limitation,"An action, material, or scenario that a participant has ruled out entirely (a hard limit).","The name of a popular BDSM book.","The person who mediates a conflict between partners.","A specific type of leather glove."
Negotiation,"The pre-scene conversation where boundaries, activities, safewords, and aftercare are established.","The process of buying gear at a specialized store.","A formal ceremony for a new partnership.","A period of silence required after a scene."
Rope Bottom,"A submissive whose primary interest is being tied, often in intricate shibari patterns.","The person who teaches rope tying.","A type of leather restraint that is quick to release.","A punishment that involves repetitive tasks."
Topsitter,"A person who mediates or supervises a scene involving a dominant and a submissive to ensure safety and adherence to rules.","A specific knot used for quick release.","A style of clothing worn during pet play.","The act of a submissive reporting on their day."
CNC Play,"Consensual Non-Consent Play; scenes built around the fantasy of non-consent, which is fully consented to beforehand.","A style of tight corset that restricts breathing.","A specific type of massage focused on deep tissue.","A punishment involving public speaking."
Breath Play,"Any consensual activity that involves restricting a partner's breathing for pleasure and intensity.","A type of collar used exclusively for public display.","A specific game involving hiding keys.","A long period of silence required by protocol."
Sensory Deprivation,"Restricting one or more of a partner's senses (sight, sound, touch) to heighten their remaining sensations.","A strict diet imposed by the dominant.","A term for a submissive who refuses a task.","A specific technique for polishing metal gear."
Humiliation,"A scene involving diminishing a person's pride or sense of dignity, typically verbal but can be physical/situational.","A type of low-hanging swing used for suspension.","The act of a submissive cleaning the dominant's boots.","A type of safe word meaning 'go faster'."
Tickle Torture,"Activities focused on intense tickling, often involving restraints, to elicit a specific emotional/physical reaction.","A specific technique for applying cold wax.","A type of leather mask covering the entire face.","A formal term for a safe word."
Age Play,"Role-playing where participants assume roles representing different ages (e.g., adult caregiver and adult child).","A specific type of impact toy used only on the thighs.","A rule that prevents kissing during a scene.","A term for a very experienced dominant."
Bondage,"The practice of using ropes, cuffs, or other restraints to restrict a partner's movement.","A strict dress code for a club.","The formal greeting ritual in a BDSM community.","A type of sensual massage used in non-kink settings."
Masochist,"A person who derives pleasure from experiencing pain, discomfort, or humiliation.","The person who gives the pain or humiliation.","A specific type of protective padding.","A safe word used to signal a soft limit."
Sadist,"A person who derives pleasure from giving pain, discomfort, or humiliation to another consenting partner.","The person who receives the pain or discomfort.","A type of soft rope used for aesthetic ties.","A public performance of a BDSM scene."
Vetting,"The process of evaluating a potential partner's safety, honesty, and alignment of interests before engaging in play.","The act of cleaning up after a scene.","The official title of a Master/Mistress.","A punishment involving kneeling on rice."
Strict Limit,"A boundary that is considered non-negotiable and must not be crossed under any circumstances.","A type of light-hearted punishment involving finger painting.","A specific type of music played during a scene.","The time immediately following a scene."
Soft Limit,"A boundary that makes a participant uncomfortable or nervous, but which they may be open to exploring under specific, careful conditions.","A specific style of rope used for suspension.","The rule against talking during a scene.","A formal term for a safe word."
Toy,"An object used during BDSM play, such as paddles, whips, cuffs, or gags.","A term for an experienced submissive.","The ritual of bowing to the dominant.","A type of formal protocol."
Punishment,"An agreed-upon consequence or consequence sequence for breaking rules within a D/s dynamic.","A specific kind of harness for suspension.","The process of a dominant praising a submissive.","A safe word meaning 'speed up'."
Rigger,"A person skilled in rope bondage (shibari or other styles) who performs the tying.","A submissive who exclusively cleans the gear.","A type of sensory deprivation involving loud music.","A formal term for aftercare."
Keyholder,"The person (usually the dominant) who holds the keys to a partner's chastity device.","A type of belt used for impact play.","A person who manages the music during a scene.","A specific knot used for quick release."
Chastity,"The practice of restricting a partner's sexual access or release, often using a locked device.","A strict rule against physical touch.","A type of rope made from silk.","A public performance ritual."
Findom,"Financial Dominance; a dynamic where a dominant controls a submissive's finances.","A specific type of leather collar.","A safe word used to pause but not stop a scene.","A type of sensual massage."
Edging,"The practice of bringing a partner close to orgasm repeatedly, only to pull back before release.","A type of wax play using only black wax.","A scene focusing solely on verbal exchange.","A method for safely cleaning leather."
Tease and Denial,"A scene focusing on sexual arousal without allowing the partner to reach orgasm or release.","A punishment involving eating bland food.","A type of restraint made of metal links.","The initial vetting process."
Whip,"An impact toy made of leather, rope, or other material, often with multiple falls, used for sensation.","A type of collar used for daily wear.","The formal title of a submissive.","A specific knot used for long ties."
Paddle,"A flat impact toy, typically wood or leather, used for spanking or striking.","A type of gag that prevents speech entirely.","The official greeting in a BDSM club.","A rule against eye contact."
Cane,"A thin, rigid rod used for sharp, stinging impact play.","A type of soft rope used for cuddling.","A specific style of corset.","A ceremonial object carried by a dominant."
Strap,"A heavy leather belt or strip used for intense impact play.","A light bondage cuff made of velvet.","A type of pet play where one acts as a bird.","A formal term for aftercare."
Piercing,"The practice of using body piercings or temporary clamps for sensation play.","A specific type of massage oil.","The process of decorating a dungeon.","A formal protocol for a first scene."
Electricity Play,"Using low-voltage electrical currents for sensation, often with specialized devices.","A type of heavy chain used for suspension.","A rule requiring silence during a scene.","The act of praising a submissive."
Sensory Overload,"Activities designed to bombard a partner's senses with intense stimulation (e.g., sound, light, texture).","A type of soft, padded hood.","A specific knot used for quick release.","A method for safely cleaning gear."
Flirtation,"The use of playful, suggestive, or provocative verbal exchange during a dynamic.","A punishment involving repetitive writing.","A specific type of ankle cuff.","The act of a submissive bowing."
Mindfuck,"Psychological play involving intense verbal or situational manipulation to challenge a submissive's perception or sanity.","A type of rigid steel cage for chastity.","A scene focused solely on gentle touch.","A type of light-hearted punishment."
Dress Code,"Rules dictating what a submissive or dominant must wear, often as part of protocol.","A specific safe word that means 'stop immediately'.","A type of wax that burns very hot.","The process of buying new toys."
Boot Licking,"A submissive act involving cleaning the dominant's footwear, often as part of degradation or service.","A specific knot used for chest harness.","A type of massage used before play.","A rule against physical touch."
Cuckold,"A dynamic where a male partner derives pleasure from watching his primary partner engage sexually with another man.","A term for an inexperienced dominant.","A specific type of collar made of metal.","A type of strict protocol."
Vore,"A non-sexual or sexual fantasy involving one person ingesting or simulating the ingestion of another.","A type of thick rope used for load-bearing.","A rule requiring a submissive to remain standing.","The formal greeting ritual."
Watersports,"Activities involving the use of urine, often for humiliation or sensation.","A type of deep tissue massage.","A specific type of gag that prevents biting.","A term for a submissive who cleans up."
Diaper Play,"A type of age play or humiliation involving the use of diapers.","A specific style of leather mask.","A punishment involving cold showers.","A type of rope made from velvet."
Pony Play,"A type of pet play where one participant acts as a horse, often involving harnesses, saddles, and riding.","A specific type of lightweight cuff.","A rule against using a safe word.","The process of vetting a new partner."
Hypnosis,"Using suggestive techniques to alter a partner's state of consciousness for deeper role-play or control.","A type of impact toy used only on the hands.","A scene focusing entirely on silence.","A type of sensual massage."
Mirroring,"A protocol where the submissive must imitate or reflect the dominant's actions or posture.","A specific type of massage oil.","A rule requiring the submissive to wear a collar 24/7.","A type of light bondage."
Leash,"A rope or chain attached to a collar or harness, symbolizing the dominant's control over the submissive.","A punishment involving repetitive counting.","The time immediately following a scene.","A formal title for a submissive."
Training,"The process by which a dominant teaches a submissive their required behaviors, protocols, and duties.","A specific knot used for head harnesses.","A type of metal chastity device.","A formal term for aftercare."
Denial,"Restricting a submissive from a desired activity, often orgasm, as a form of control or teasing.","A type of rope used only for aesthetic ties.","A rule against eye contact.","A type of collar used only for display."
Subspace,"An altered mental state of euphoria, calm, and focus experienced by a submissive during intense play.","The term for sadness after a scene.","A specific binding technique.","A punishment involving kneeling on pebbles."
Dom Top,"A dominant who primarily engages in active or penetrative sexual roles.","A submissive who prefers giving orders.","A type of soft restraint used for cuddling.","A term for an experienced dominant."
Sub Bottom,"A submissive who primarily engages in passive or receiving sexual roles.","A dominant who prefers receiving praise.","A type of hard leather corset.","A rule requiring the submissive to be quiet."
RACK,"Risk Aware Consensual Kink; an approach emphasizing personal responsibility in assessing and managing risks.","A type of elaborate costume for pet play.","A specific safe word that means 'go faster'.","The process of cleaning a dungeon."
SSC,"Safe, Sane, Consensual; a traditional model of consent in BDSM.","A specific knot used for suspension.","A type of light-hearted punishment.","The act of a dominant setting rules."
24/7 Dynamic,"A dynamic where the power exchange roles and protocols are maintained constantly, not just during specific scenes.","A type of massage focused on pressure points.","A rule that prevents kissing.","A term for a submissive who lives with the dominant."
Cock Worship,"A form of devotion or service focused on venerating the male genitalia, often including verbal praise.","A specific type of impact toy.","A rule against physical touch.","A type of strict dress code."
Foot Worship,"A form of devotion or service focused on venerating the dominant's feet, often involving cleaning or kissing.","A type of light bondage cuff.","A term for an experienced dominant.","A specific type of collar."
Face Sitting,"A dominant sitting on a submissive's face, often for suffocation play or degradation.","A type of rope used for quick release.","A punishment involving forced writing.","A formal term for a safe word."
Cuddle Puddle,"A non-sexual, group activity where participants gather to cuddle and offer platonic physical affection.","A term for an overly strict dominant.","A specific type of locking collar.","A rule against eye contact."
Master/Mistress,"Formal titles adopted by Dominants in deeply committed M/s dynamics.","A safe word used to signal a soft limit.","A type of sensual massage oil.","The person responsible for cleaning gear."
Sir/Ma'am,"Titles of respect used by a submissive when addressing their Dominant.","A type of light-hearted punishment.","A specific knot used in bondage.","The process of buying new toys."
Good Boy/Girl,"Praise terms used by a Dominant to reward or affirm a submissive.","A specific type of leather whip.","A term for a submissive who always obeys.","A type of gag that prevents speech."
Scene,"A planned period of time dedicated to kink play, following negotiation and setting of boundaries.","A specific type of massage.","A formal greeting ritual.","The process of vetting a partner."
Dungeon,"A private or public space specifically designated and equipped for BDSM play.","A type of heavy chain used for suspension.","A formal title for a submissive.","A specific knot used for quick release."
Spanking,"Impact play focused on the buttocks, typically using a hand, paddle, or cane.","A specific type of leather hood.","A rule requiring silence during a scene.","A type of light bondage cuff."
Flogging,"Impact play using a multi-tailed whip (flogger) for broad, intense sensation.","A type of rope made from silk.","A punishment involving cold showers.","A specific type of massage oil."
Cuffs,"Restraints (usually leather or metal) used to bind wrists or ankles.","A specific knot used for head harnesses.","A term for an experienced dominant.","A type of light-hearted punishment."
Gag,"A device used to cover or fill a partner's mouth, restricting speech.","A type of soft rope for aesthetic ties.","A rule against physical touch.","The formal greeting ritual."
Blindfold,"A restraint used to cover a partner's eyes, causing sensory deprivation.","A type of heavy leather belt.","A punishment involving repetitive writing.","A specific safe word."
Suspension,"Bondage techniques used to partially or fully suspend a partner's body weight from above.","A type of chastity device.","A rule requiring a submissive to wear a specific outfit.","A formal term for aftercare."
Medical Play,"Role-playing where participants assume medical roles (doctor/nurse/patient) for examination or treatment scenarios.","A specific type of collar.","A term for a person new to kink.","A type of sensual massage."
Needle Play,"Activities involving the insertion of sterilized needles into the skin for sensation.","A type of soft, padded hood.","A rule against eye contact.","A punishment involving kneeling on grains."
Sound Play,"Using loud or intense noises, often through headphones or directed sound, for sensory overload or pleasure.","A type of light bondage cuff.","A specific knot for suspension.","The process of vetting."
Temperature Play,"Using extreme temperatures (hot wax, ice, heat packs) for sensation.","A type of velvet rope.","A punishment involving silence.","A formal title for a dominant."
Cock Ring,"A device worn around the base of the penis and/or testicles to maintain an erection and intensify sensation.","A type of metal chastity device.","A specific safe word.","A type of light-hearted punishment."
Nipple Clamps,"Devices applied to the nipples for sensation, often with small weights or chains attached.","A type of leather mask.","A rule requiring a submissive to clean gear.","A formal term for protocol."
Collar,"A neck accessory worn by a submissive to symbolize their relationship, ownership, or status.","A specific type of impact toy.","A rule that prevents talking during a scene.","The process of cleaning a submissive's feet."
Ownership,"A highly formalized dynamic where the submissive is seen as the dominant's property.","A type of light bondage cuff.","A punishment involving forced exercise.","A specific knot used for quick release."
Caning,"Impact play using a cane (a rigid rod) for sharp, stinging sensations.","A soft rope used for aesthetic ties.","A type of leather mask covering the whole face.","A formal term for aftercare."
Fingering,"Manual sexual stimulation of a partner's genitals.","A type of chastity belt.","A rule against eye contact.","A specific safe word."
Gagging,"The act of placing a gag in or over a partner's mouth to prevent speech.","A type of metal cuff.","A punishment involving counting.","The process of vetting a partner."
Humiliation,"A scene involving verbally diminishing a submissive's self-worth for the sake of the dynamic.","A specific type of harness.","A feeling of intense sadness after a scene.","A specific type of medical examination."
Praise,"Positive verbal affirmation used by a dominant to reward or encourage a submissive.","The act of a submissive bowing to their dominant.","The use of electricity in a scene.","A specific knot used in bondage."
Tasking,"The dominant assigning specific duties or chores to the submissive, often daily or weekly.","A type of light-hearted punishment.","A specific type of collar used only for play.","A term for an inexperienced dominant."
Service,"Acts performed by a submissive for the dominant's benefit or pleasure (e.g., cleaning, fetching, worship).","A type of soft rope used for cuddling.","A rule against kissing.","A formal term for aftercare."
Forced Bi,"A specific role-play scenario where a typically straight male is forced to engage in bisexual acts.","A type of rigid steel cage.","A scene focused solely on gentle touch.","A type of light bondage."
Exhibitionism,"Deriving pleasure from being watched by others during sexual or kink activities.","A rule requiring a submissive to wear gloves.","A specific type of music played during a scene.","The process of buying new toys."
Voyeurism,"Deriving pleasure from secretly watching others engage in sexual or kink activities.","A type of padded hood.","A punishment involving cold temperatures.","A formal term for protocol."
Bondage Fetish,"Sexual arousal derived from the act of restricting or being restricted by restraints.","A type of sensual massage oil.","A rule against physical touch.","The process of cleaning gear."
Leather Fetish,"Sexual arousal derived from the texture, smell, or visual of leather clothing or gear.","A specific type of metal cuff.","A punishment involving silence.","A type of velvet rope."
Latex Fetish,"Sexual arousal derived from the texture, smell, or visual of latex/rubber clothing or gear.","A type of light bondage cuff.","A rule against eye contact.","A specific safe word."
Uniform Fetish,"Sexual arousal derived from uniforms (e.g., military, maid, schoolgirl) used in role-play.","A specific knot used for head harnesses.","A formal greeting ritual.","A term for an experienced dominant."
Objectification,"The practice of treating a partner as a non-sentient object for use or display.","A type of rope used only for aesthetic ties.","A rule that prevents talking.","A punishment involving kneeling on grains."
Public Humiliation,"Degrading a submissive in a public or semi-public setting.","A type of metal chastity device.","A rule requiring a submissive to wear a collar 24/7.","A specific type of impact toy."
Safe Place,"A designated mental or physical retreat a submissive can go to during intense play or when feeling overwhelmed.","A type of heavy chain used for suspension.","A formal title for a Mistress.","The process of vetting."
Negotiation Script,"A detailed, written list of limits, activities, and rules to be discussed before a scene.","A type of soft, padded material for cushioning.","A rule against kissing.","A type of sensual massage."
