Term,Correct Definition,Wrong Definition 1,Wrong Definition 2,Wrong Definition 3
Power Exchange,"The central theme of BDSM, where one person willingly cedes control to another.","A specific type of collar used only for display.","A punishment involving forced writing.","A formal term for aftercare."
Intimacy,"Emotional and physical closeness, often intensified in D/s dynamics through vulnerability.","A type of rigid steel cage.","A rule that prevents talking during a scene.","A type of light bondage cuff."
Vulnerability,"The act of opening oneself up to emotional or physical exposure, trusting the partner's care.","A specific safe word meaning 'stop immediately'.","A type of wax that burns very hot.","The process of buying new toys."
Trust,"The foundation of any healthy kink dynamic, relying on the partner to respect boundaries and ensure safety.","A punishment involving cold showers.","A type of rope made from silk.","A formal term for protocol."
Respect,"Acknowledging and honoring a partner's boundaries, feelings, and agency.","A specific type of massage oil.","A rule against physical touch.","The process of cleaning gear."
After Drop,"A state of sadness, anxiety, or emotional instability experienced after a scene, often due to hormonal shifts.","The moment of euphoria during a scene.","A type of heavy leather belt.","A specific knot for suspension."
Scene Report,"A written or verbal summary of a scene, documenting activities, boundaries, and feelings.","A type of light-hearted punishment.","A rule requiring silence.","A formal title for a submissive."
Dungeon Monitor,"A person who works in a public play space to supervise scenes and enforce safety rules.","A specific type of leather whip.","A term for an experienced dominant.","A type of metal chastity device."
First Scene,"The initial period of play between two partners after successful negotiation.","A type of soft rope for aesthetic ties.","A rule against eye contact.","A punishment involving repetitive writing."
End Scene,"The formal conclusion of a play session, followed by aftercare.","A specific knot for quick release.","A term for an inexperienced submissive.","A type of sensual massage."
Public Play,"Engaging in kink activities in a public or semi-public setting, such as a club or dungeon.","A rule requiring a submissive to clean the house.","A specific type of leather mask.","The process of vetting."
Private Play,"Engaging in kink activities exclusively in a private space, such as a home.","A type of heavy chain used for suspension.","A formal title for a Master.","A punishment involving kneeling on pebbles."
Domme,"A term often used for a female dominant, particularly in Femdom.","A submissive who exclusively performs service.","A specific knot used for a chest harness.","A type of light bondage."
Leather,"A material often used for collars, cuffs, and impact toys, associated with traditional BDSM.","A type of rope made from cotton.","A rule that prevents kissing.","A formal term for protocol."
Rubber,"A material (like latex) often used for clothing and gear, associated with specific fetish play.","A specific safe word meaning 'slow down'.","A type of massage focused on pressure points.","A punishment involving counting."
Restraint,"Any device or method (cuffs, rope, posture) used to limit a partner's movement.","A type of light-hearted punishment.","A rule against physical touch.","The process of buying new toys."
Sensation Play,"A category of play focused on non-sexual sensory input, often using temperature, texture, or sound.","A type of rigid steel cage.","A specific type of collar used only for display.","A term for an experienced dominant."
Edgeplay,"Activities that intentionally push the physical or psychological limits, requiring extreme trust.","A specific knot for quick release.","A formal greeting ritual.","A punishment involving cold showers."
Golden Shower,"A type of watersports involving urination onto a partner.","A type of padded hood.","A rule requiring silence during a scene.","A type of soft rope."
Snowballing,"The act of spitting pre-chewed food or liquid into a partner's mouth.","A specific type of ankle cuff.","A rule against eye contact.","The process of vetting."
Breeding Kink,"Role-play focused on the fantasy of forced impregnation or hyper-fertility.","A type of velvet rope.","A punishment involving forced writing.","A formal term for aftercare."
Enforced Femininity,"A form of feminization involving forced dress or behavior in a female manner.","A specific type of impact toy.","A rule that prevents talking.","A type of light bondage."
Enforced Masculinity,"A form of masculization involving forced dress or behavior in a male manner.","A type of heavy leather belt.","A punishment involving kneeling on rice.","A specific safe word."
Public Exposure,"A submissive being made to expose themselves in public or semi-public settings.","A type of leather mask.","A rule requiring a submissive to clean the house.","A formal title for a submissive."
Forced Orgasm,"A technique used to make a partner reach climax without their active sexual effort.","A specific type of rope used for suspension.","A term for an inexperienced submissive.","A type of sensual massage."
Forced Chastity,"A dominant controlling a submissive's sexual access through a locking device.","A type of metal cuff.","A punishment involving repetitive counting.","The process of cleaning gear."
Slut Shaming,"A specific form of degradation or role-play focused on calling a submissive promiscuous.","A type of soft, padded hood.","A rule against kissing.","A formal term for protocol."
Pet Names,"Terms of endearment or ownership used by a dominant to address a submissive (e.g., puppy, kitten, toy).","A specific knot used for head harnesses.","A punishment involving forced exercise.","A type of velvet rope."
Daddy/Girl Dynamic,"A dynamic involving an adult caregiver role (Daddy) and an adult care-recipient role (Girl), often for structure or regression.","A type of rigid steel cage.","A rule that prevents talking during a scene.","A type of light-hearted punishment."
Slave Protocol,"A highly formalized set of rules and devotion required in a Master/slave dynamic.","A specific safe word meaning 'stop immediately'.","A type of wax that burns very hot.","The process of buying new toys."
Dom Training,"The process by which a dominant teaches a submissive their required behaviors and duties.","A punishment involving cold showers.","A type of rope made from silk.","A formal greeting ritual."
Service Top,"A dominant who derives pleasure from serving their submissive's needs or wants.","A submissive who only cleans up after a scene.","A specific knot used in bondage.","A rule against eye contact."
Pony Gear,"Specific harnesses, bridles, and tack used in pony play role-play.","A type of light bondage cuff.","A term for an experienced dominant.","A specific type of collar."
Puppy Play,"A type of pet play where one participant acts as a dog or puppy.","A specific type of impact toy.","A rule that prevents talking.","The process of vetting."
Kitten Play,"A type of pet play where one participant acts as a cat or kitten.","A type of soft rope for aesthetic ties.","A punishment involving silence.","A type of metal chastity device."
Latex Hood,"A full head covering made of latex, often used for sensory deprivation.","A specific knot for suspension.","A rule against physical touch.","A formal term for aftercare."
Ball Gag,"A gag using a sphere to keep the mouth open and silent.","A type of light bondage cuff.","A punishment involving counting.","The process of cleaning gear."
Muzzle,"A restraint covering the mouth, often associated with pet play.","A type of heavy chain.","A rule against kissing.","A specific safe word."
Arm Binder,"A device used to restrain the arms, often behind the back.","A type of sensual massage.","A formal title for a submissive.","A punishment involving kneeling on beans."
Wartenberg Wheel,"A medical device (small wheel with sharp spokes) rolled over skin for sensation play.","A specific type of leather whip.","A term for an inexperienced dominant.","A type of velvet rope."
Violet Wand,"An electrical device used for low-voltage sensation play, creating ozone.","A type of light-hearted punishment.","A rule requiring silence.","A formal term for protocol."
Feather Duster,"Used in sensation play for light, ticklish, or teasing touch.","A specific knot used for head harnesses.","A type of metal cuff.","A punishment involving forced exercise."
Hot Wax,"Low-temperature wax (often paraffin) used for dripping onto skin for temperature play.","A type of rigid steel cage.","A rule that prevents talking during a scene.","A type of light bondage."
Ice Play,"Using ice cubes or cold packs on a partner's skin for temperature sensation.","A specific safe word meaning 'slow down'.","A type of wax that burns very hot.","The process of buying new toys."
Breath Control,"The dominant managing the submissive's breathing, often in a structured, safe manner.","A punishment involving cold showers.","A type of rope made from silk.","A formal greeting ritual."
Hypno Slut,"A submissive role-play centered around being easily hypnotized into promiscuity or service.","A type of padded hood.","A rule against eye contact.","A specific type of collar."
Age Regression,"A psychological state where an adult behaves or feels like a child, often facilitated in Age Play.","A specific knot used in bondage.","A term for an experienced dominant.","A type of sensual massage."
Pet Training,"The process of conditioning a pet play submissive to obey commands and perform tricks.","A type of light bondage cuff.","A punishment involving counting.","The process of vetting."
Kinky,"A general adjective describing non-traditional sexual practices or preferences.","A specific safe word.","A type of heavy leather belt.","A rule that prevents talking."
Vanilla,"A term for traditional, conventional, or non-kink sexual activity.","A type of leather mask.","A punishment involving kneeling on rice.","A formal title for a Mistress."
Limit,"An agreed-upon boundary that should not be crossed during play.","A specific knot used for quick release.","A term for an inexperienced submissive.","A type of sensual massage."
Boundary,"A physical or emotional line that a participant sets for themselves or the dynamic.","A type of metal chastity device.","A rule against kissing.","A punishment involving repetitive writing."
Risk Awareness,"Consciously evaluating and mitigating potential dangers in kink activities (part of RACK).","A type of soft rope for aesthetic ties.","A formal term for aftercare.","The process of cleaning gear."
Sadomasochism,"Deriving pleasure from giving or receiving pain, often physical or psychological.","A specific type of collar used only for display.","A rule that prevents talking during a scene.","A type of light bondage."
BDSM,"Bondage, Discipline, Sadism, Masochism; a collective term for kinky practices involving power exchange.","A type of heavy chain used for suspension.","A punishment involving forced exercise.","A specific type of impact toy."
Discipline,"Structured enforcement of rules and adherence to protocol, often involving corrective actions.","A specific knot for suspension.","A term for an experienced dominant.","A rule against eye contact."
Domination,"The act or state of being in control over another, specifically in a power exchange dynamic.","A type of velvet rope.","A punishment involving silence.","A formal term for protocol."
Submission,"The act or state of yielding control to another, specifically in a power exchange dynamic.","A type of light-hearted punishment.","A rule against physical touch.","The process of buying new toys."
Pervy,"A colloquial, often light-hearted term for kinky or non-traditional sexual interest.","A specific safe word meaning 'go faster'.","A type of leather whip.","A punishment involving cold showers."
Devotion,"Deep, sincere commitment and worship from a submissive to a dominant.","A type of padded hood.","A rule requiring a submissive to clean the house.","A formal greeting ritual."
Respectful,"Treating a partner and their boundaries with high regard, even in power-imbalanced roles.","A specific knot used for head harnesses.","A term for an inexperienced submissive.","A type of sensual massage."
Owner,"A formal title used by a dominant, especially in O/p (Owner/property) dynamics.","A type of rigid steel cage.","A rule that prevents talking.","A punishment involving kneeling on beans."
Property,"A formal role adopted by a submissive, treating themselves as an object for the dominant's use.","A specific type of massage oil.","A rule against kissing.","A formal term for aftercare."
Training Collar,"A collar used specifically during the submissive's training period before a formal collaring.","A type of metal cuff.","A punishment involving counting.","The process of cleaning gear."
Formal Collaring,"A ceremony marking the official, committed relationship between a dominant and a submissive.","A specific safe word.","A rule against eye contact.","A punishment involving repetitive writing."
Permanent Collar,"A collar intended to be worn at all times, symbolizing a 24/7 or lifetime commitment.","A type of heavy leather belt.","A formal title for a Master.","The process of vetting."
Day Collar,"A discreet collar designed to be worn in public or professional settings.","A specific knot used for quick release.","A term for an experienced submissive.","A type of velvet rope."
Locking Collar,"A collar that requires a key to be removed, symbolizing ownership or commitment.","A type of light bondage cuff.","A rule that prevents talking during a scene.","A specific type of impact toy."
Harness,"A leather or fabric assembly worn on the torso, often used for restraint or as a decorative element.","A specific type of rope used for suspension.","A punishment involving forced exercise.","A formal term for protocol."
Corset,"A garment worn to cinch the waist, often for aesthetic or mild restriction/discomfort.","A type of sensual massage.","A rule against physical touch.","The process of buying new toys."
Latex Suit,"A full-body covering made of latex, often used for aesthetic or sensory play.","A specific knot used in bondage.","A punishment involving cold showers.","A formal greeting ritual."
Vinyl,"A synthetic material often used for kink gear or clothing, similar to leather/latex.","A type of padded hood.","A rule requiring silence.","A specific type of collar."
Leather Mask,"A head covering made of leather, often restricting vision or identity.","A type of rigid steel cage.","A punishment involving kneeling on rice.","A formal title for a submissive."
Gimp,"A colloquial term for a submissive wearing a full latex or leather suit and mask.","A specific safe word meaning 'stop immediately'.","A type of wax that burns very hot.","The process of cleaning gear."
Boot Fetish,"A sexual arousal derived from boots, often involving worship or service.","A type of soft rope for aesthetic ties.","A rule against kissing.","A punishment involving counting."
Stiletto Fetish,"Sexual arousal derived from high-heeled shoes, often involving worship or service.","A specific type of impact toy.","A rule against eye contact.","A formal term for aftercare."
Panty Fetish,"Sexual arousal derived from women's underwear.","A type of metal chastity device.","A rule that prevents talking during a scene.","A specific type of leather whip."
Sissification,"A form of feminization where a male is conditioned to adopt submissive, effeminate roles and behavior.","A specific knot for suspension.","A term for an inexperienced dominant.","A type of light bondage."
Forced Crossdressing,"A submissive being made to wear clothing typically associated with the opposite gender.","A type of velvet rope.","A punishment involving forced writing.","A formal term for protocol."
Erotic Humiliation,"Humiliation focused on sexual performance or attractiveness.","A specific safe word.","A rule against physical touch.","The process of vetting a partner."
Erotic Degradation,"Degradation focused on sexual worth or identity.","A type of heavy chain.","A punishment involving repetitive counting.","A type of sensual massage."
Piercing Play,"Using body piercings or temporary clamps for sensation play.","A specific type of massage oil.","The process of decorating a dungeon.","A formal protocol for a first scene."
Fisting,"Sexual activity involving the insertion of a hand or fist into a partner's orifice.","A type of light bondage cuff.","A rule against eye contact.","A specific safe word."
Deep Throat,"The act of taking the penis deep into the throat, often triggering the gag reflex.","A specific knot used for head harnesses.","A term for an experienced dominant.","A type of light-hearted punishment."
Tribadism,"Sexual activity between two women involving rubbing genitals together.","A type of velvet rope.","A punishment involving silence.","A type of metal chastity device."
Anal Play,"Sexual activities focused on the anus and rectum.","A specific type of collar.","A rule requiring a submissive to clean gear.","A formal title for a submissive."
Probing,"The act of exploring a partner's orifices with fingers or toys.","A type of light bondage cuff.","A punishment involving forced exercise.","A type of rigid steel cage."
Rimming,"Oral stimulation of the anus.","A specific knot for suspension.","A rule that prevents talking during a scene.","A type of heavy leather belt."
Cum Swallowing,"The act of ingesting semen, often as a service or act of devotion.","A type of sensual massage.","A punishment involving cold showers.","A formal term for protocol."
Fellation,"Oral sex performed on a penis.","A specific safe word meaning 'slow down'.","A rule against kissing.","The process of buying new toys."
Cunnilingus,"Oral sex performed on a vulva.","A type of padded hood.","A punishment involving counting.","A formal greeting ritual."
Anilingus,"Oral stimulation of the anus (rimming).","A specific knot used in bondage.","A rule against physical touch.","The process of cleaning gear."
Bondage Harness,"A harness designed primarily for restraint and positional bondage.","A type of light-hearted punishment.","A formal title for a Master.","The process of vetting."
Chastity Belt,"A device used to restrict sexual access to the genitals, often locked.","A specific type of leather whip.","A term for an inexperienced submissive.","A type of sensual massage."
Chastity Cage,"A device worn over the male genitals to prevent erections and sexual activity.","A type of soft rope for aesthetic ties.","A punishment involving repetitive writing.","A specific safe word."
Anal Hook,"A toy inserted into the anus with a hook-like end, often used for positional bondage.","A type of metal cuff.","A rule against eye contact.","A formal term for aftercare."
Butt Plugs,"Toys inserted into the anus, often worn for extended periods.","A specific type of collar used only for display.","A rule that prevents talking.","A punishment involving kneeling on grains."
Vibrator,"An electronic toy used for intense stimulation, often worn externally or inserted.","A type of heavy chain.","A punishment involving silence.","A specific type of impact toy."
Dildo,"A non-vibrating sexual toy shaped like a penis.","A specific knot for quick release.","A rule requiring a submissive to clean the house.","A type of velvet rope."
Strap-on,"A harness worn by one partner that holds a dildo for penetrative play.","A type of leather mask.","A punishment involving forced exercise.","A formal title for a Domme."
Cattle Prod,"A device used for delivering painful, sharp electrical shock (edge play, requires extreme caution).","A specific safe word meaning 'stop immediately'.","A type of wax that burns very hot.","The process of buying new toys."
Sling,"A piece of furniture or apparatus used to hold a partner in a suspended or restrained position.","A punishment involving cold showers.","A type of rope made from silk.","A formal greeting ritual."
Stocks,"Wooden restraints for the head and/or hands/feet, often used for humiliation or display.","A type of padded hood.","A rule against physical touch.","A specific type of collar."
Crate,"A small enclosure used to contain a submissive, often for humiliation or forced stillness.","A specific knot used for head harnesses.","A term for an experienced dominant.","A type of sensual massage."
Cage,"A large metal or rigid structure used to restrain or contain a submissive.","A type of light bondage cuff.","A punishment involving counting.","The process of vetting."
Public Scene,"A scene performed openly where others can watch, often in a club or dungeon.","A specific type of impact toy.","A rule that prevents talking during a scene.","A type of metal chastity device."
Exhibition,"The act of displaying kink to an audience.","A type of rigid steel cage.","A rule against kissing.","A punishment involving kneeling on rice."
Audience Play,"A scene performed for the specific benefit or enjoyment of spectators.","A specific safe word.","A type of soft rope for aesthetic ties.","A formal term for protocol."
Verbal Domination,"Dominance expressed purely through words, commands, and vocal tone.","A type of heavy chain used for suspension.","A rule requiring a submissive to clean gear.","A specific type of leather whip."
Non-Verbal Communication,"Using gestures, eye contact, or body language to convey command or compliance.","A specific knot for suspension.","A punishment involving repetitive writing.","A formal title for a submissive."
Forced Worship,"A submissive being commanded to show veneration or devotion to the dominant or a specific object.","A type of velvet rope.","A rule against eye contact.","A punishment involving silence."
Enforced Obedience,"A strict protocol where the submissive is always expected to follow the dominant's commands instantly.","A specific type of massage oil.","A formal greeting ritual.","A type of light bondage."
Pet Food,"Serving food to a pet play submissive in a bowl or on the floor.","A type of light-hearted punishment.","A specific knot used in bondage.","A rule that prevents talking."
Forced Feeding,"A dominant controlling what and how a submissive eats, often for humiliation or service.","A specific type of collar used only for display.","A punishment involving cold showers.","A formal term for aftercare."
Forced Nakedness,"A submissive being commanded to remain unclothed, often for humiliation or aesthetic.","A type of metal cuff.","A rule against physical touch.","The process of buying new toys."
Forced Positions,"A submissive being made to hold uncomfortable or vulnerable body positions for extended periods.","A specific safe word meaning 'go faster'.","A type of padded hood.","A punishment involving counting."
Forced Compliance,"The submissive having no option but to follow a dominant's instructions.","A type of rigid steel cage.","A rule against kissing.","A formal title for a Master."
Token Play,"Using tokens (like poker chips) to represent control, services, or rewards within a dynamic.","A specific knot for quick release.","A term for an experienced submissive.","The process of vetting."
Pain Slut,"A submissive who actively seeks out and enjoys intense physical sensation/pain.","A type of heavy leather belt.","A rule that prevents talking during a scene.","A type of sensual massage."
Attention Whore,"A submissive who craves constant attention and validation from their dominant.","A specific type of leather mask.","A punishment involving kneeling on beans.","A type of light bondage cuff."
Sex Slave,"A submissive role focused on total sexual availability and service to the dominant.","A type of soft rope for aesthetic ties.","A formal term for protocol.","A specific type of impact toy."
Body Worship,"Focusing devotion and praise on the dominant's entire physical form.","A specific safe word.","A rule requiring a submissive to clean the house.","A type of velvet rope."
Cockolding,"A dynamic where a dominant derives pleasure from their submissive engaging sexually with a third party.","A type of metal chastity device.","A punishment involving forced exercise.","A formal greeting ritual."
Piss Play,"A simple term for watersports.","A specific knot used for head harnesses.","A rule against eye contact.","A punishment involving silence."
Scat Play,"Sexual activities involving the use of feces (extreme edge play, rare).","A type of light bondage cuff.","A term for an inexperienced dominant.","A specific type of collar."
Golden Showers,"Another term for watersports involving urination.","A type of rigid steel cage.","A rule that prevents talking.","A formal title for a Domme."
Cum Control,"The dominant managing when and how a partner is allowed to orgasm.","A specific safe word meaning 'slow down'.","A type of wax that burns very hot.","The process of cleaning gear."
Hypnotic Suggestion,"Verbal commands given during a scene to influence a partner's behavior.","A punishment involving cold showers.","A type of rope made from silk.","A formal term for aftercare."
Mind Control,"Role-play centered around one partner having total psychological command over the other.","A type of padded hood.","A rule against physical touch.","A punishment involving repetitive writing."
Sensation Contrast,"Switching quickly between different sensations (e.g., hot/cold, hard/soft) for heightened effect.","A specific knot used in bondage.","A rule against kissing.","A specific type of leather whip."
Impact Contrast,"Switching quickly between different types of impact (e.g., paddle/whip, light/heavy) for heightened effect.","A type of metal cuff.","A punishment involving counting.","The process of buying new toys."
Edge,"The point of intense arousal just before orgasm, often maintained for denial.","A specific safe word.","A rule that prevents talking during a scene.","A formal greeting ritual."
Sub Drop,"A common term for the ""After Drop"".","A type of heavy chain.","A punishment involving kneeling on rice.","A specific type of impact toy."
Dom Daze,"A state of calm, relaxed satisfaction experienced by a dominant after a fulfilling scene.","A specific knot for quick release.","A term for an experienced submissive.","A type of sensual massage."
Consensual,"All participants willingly agree to the activity.","A type of light-hearted punishment.","A rule requiring silence.","The process of vetting."
Informed Consent,"Agreement based on full knowledge of the risks and activities involved.","A specific type of collar used only for display.","A punishment involving forced writing.","A formal title for a Master."
Enthusiastic Consent,"Agreement that is clearly and actively expressed, not implied.","A type of velvet rope.","A rule against eye contact.","A punishment involving cold showers."
Withdrawal,"A technique in denial where the dominant pulls away just before climax.","A specific type of massage oil.","A formal term for aftercare.","The process of cleaning gear."
Climax Control,"The dominant controlling the partner's path to orgasm.","A type of heavy leather belt.","A punishment involving counting.","A specific type of collar."
Forced Focus,"A submissive being made to concentrate intently on a specific task or object.","A specific knot used for head harnesses.","A rule against kissing.","A formal term for protocol."
Forced Relaxation,"A submissive being made to remain still and calm against their will, often after intense play.","A type of rigid steel cage.","A punishment involving kneeling on beans.","A specific safe word."
Forced Eye Contact,"A submissive being commanded to maintain direct eye contact with the dominant.","A specific type of impact toy.","A rule that prevents talking.","A formal title for a submissive."
Public Display,"Performing non-sexual kink activities in a public space (e.g., collaring, kneeling).","A type of light bondage cuff.","A punishment involving forced exercise.","A type of metal chastity device."
Private Display,"Performing a scene only for the dominant's private viewing.","A specific knot for suspension.","A term for an inexperienced dominant.","A type of light-hearted punishment."
